University of Cincinnati,oh_hamilton
University of Delaware,de_new castle
University of Kentucky,ky_pulaski
University of Louisville,ky_jefferson
University of Maine,me_penobscot
University of Miami,fl_miami-dade
University of Montevallo,al_shelby
University of Nevada,nv_washoe
University of Northern Iowa,ia_linn
University of Oregon,or_lane
University of Pittsburgh,pa_fayette
University of South Alabama,al_mobile
University of Southern California,ca_los angeles
University of Southern Indiana,in_marion
University of Toledo,oh_lucas
University of Vermont,vt_chittenden
University of Washington,wa_king
Utah Valley Comm College,ut_utah
Virginia Commonwealth University,va_stafford
Wagner College,ny_richmond
Wake Forest University,nc_wake
Washburn University of Topeka,ks_shawnee
Wayne Co Community College,mi_wayne
Weber State College,ut_weber
West Texas State University,tx_mclennan
West Virginia St College & Univ,wv_randolph
Western Iowa Tech Comm College,ia_linn
Western Kentucky University,ky_jefferson
Western Nebraska Comm College,ne_cheyenne
Western New Mexico University,nm_bernalillo
Western Washington University,wa_king
Westminster College,ut_salt lake
Wichita State University,ks_sedgwick
Winthrop College,sc_berkeley
Wright State University,oh_franklin
Yale University,ut_salt lake
