,Year,ST,GO,RV,"GO_City, Town Vlg",GO_Co-op Utility,GO_College or Univ,GO_County/Parish,GO_Direct Issuer,GO_District,GO_Indian Tribe,GO_Local Authority,GO_State Authority,GO_State/Province,"RV_City, Town Vlg",RV_Co-op Utility,RV_College or Univ,RV_County/Parish,RV_Direct Issuer,RV_District,RV_Indian Tribe,RV_Local Authority,RV_State Authority,RV_State/Province,GO_Development,GO_Education,GO_Electric Power,GO_Environmental Facilities,GO_General Purpose,GO_Healthcare,GO_Housing,GO_Public Facilities,GO_Transportation,GO_Utilities,RV_Development,RV_Education,RV_Electric Power,RV_Environmental Facilities,RV_General Purpose,RV_Healthcare,RV_Housing,RV_Public Facilities,RV_Transportation,RV_Utilities,Region,person_income,population,per_cap_person_income,GO_percapita,RV_percapita,"GO_City, Town Vlg_percapita",GO_Co-op Utility_percapita,GO_College or Univ_percapita,GO_County/Parish_percapita,GO_Direct Issuer_percapita,GO_District_percapita,GO_Indian Tribe_percapita,GO_Local Authority_percapita,GO_State Authority_percapita,GO_State/Province_percapita,"RV_City, Town Vlg_percapita",RV_Co-op Utility_percapita,RV_College or Univ_percapita,RV_County/Parish_percapita,RV_Direct Issuer_percapita,RV_District_percapita,RV_Indian Tribe_percapita,RV_Local Authority_percapita,RV_State Authority_percapita,RV_State/Province_percapita,GO_Development_percapita,GO_Education_percapita,GO_Electric Power_percapita,GO_Environmental Facilities_percapita,GO_General Purpose_percapita,GO_Healthcare_percapita,GO_Housing_percapita,GO_Public Facilities_percapita,GO_Transportation_percapita,GO_Utilities_percapita,RV_Development_percapita,RV_Education_percapita,RV_Electric Power_percapita,RV_Environmental Facilities_percapita,RV_General Purpose_percapita,RV_Healthcare_percapita,RV_Housing_percapita,RV_Public Facilities_percapita,RV_Transportation_percapita,RV_Utilities_percapita,State or Region name,Region code
10,1984,51,472782379.791,2476016132.54,269398893.907,0.0,0.0,133190040.331,0.0,0.0,0.0,0.0,0.0,70193445.5527,34680126.5487,0.0,113990388.099,178957664.163,0.0,0.0,0.0,1301074697.51,847313256.213,0.0,0.0,70193445.5527,0.0,0.0,402588934.238,0.0,0.0,0.0,0.0,0.0,274470500.157,302509237.569,10891878.1848,419856545.995,52034680.1265,249245296.689,792455381.94,152609462.168,92170405.97,129772743.739,5.0,82639957.0,5643868.0,14642.0,83.7692128503,438.709079046,47.7330252775,0.0,0.0,23.599070767,0.0,0.0,0.0,0.0,0.0,12.4371168058,6.1447444463,0.0,20.1972101578,31.7083362267,0.0,0.0,0.0,230.528902787,150.129885428,0.0,0.0,12.4371168058,0.0,0.0,71.3320960444,0.0,0.0,0.0,0.0,0.0,48.6316299667,53.5996301771,1.92986054685,74.3916310577,9.21968411142,44.1621414053,140.40997804,27.0398709127,16.3310704591,22.9935823692,Southeast Region,5
11,1984,54,50450406.936,544453836.308,11712995.3873,0.0,0.0,10239814.5241,0.0,28497597.0247,0.0,0.0,0.0,0.0,31806216.3402,0.0,0.0,243830753.254,0.0,16301591.5183,0.0,169666964.523,82848310.6721,0.0,0.0,28497597.0247,0.0,0.0,15673678.3636,0.0,0.0,0.0,0.0,6279131.54781,11157533.7503,0.0,0.0,133069287.802,24995773.6615,169666964.523,170763397.493,0.0,9515299.34552,25285579.7329,5.0,19840150.0,1927696.0,10292.0,26.1713501175,282.437602354,6.07616314359,0.0,0.0,5.31194468636,0.0,14.7832422875,0.0,0.0,0.0,0.0,16.4996017734,0.0,0.0,126.48817721,0.0,8.45651571531,0.0,88.015415565,42.9778920909,0.0,0.0,14.7832422875,0.0,0.0,8.13078325813,0.0,0.0,0.0,0.0,3.25732457182,5.7880152007,0.0,0.0,69.0302245798,12.9666574301,88.015415565,88.5841945479,0.0,4.93609954346,13.1169954873,Southeast Region,5
12,1985,01,727175905.515,3795210803.54,475501775.066,0.0,0.0,68668352.7856,0.0,183005777.664,0.0,0.0,0.0,0.0,93057521.4052,0.0,44631876.9288,193598162.285,0.0,0.0,0.0,1846620414.41,1617302828.5,0.0,0.0,183005777.664,0.0,0.0,524157133.907,0.0,0.0,0.0,0.0,20012993.9439,143745504.327,914158758.15,12877926.5378,467201893.403,13922082.7436,560398635.636,1031050885.21,0.0,56604868.0883,595250249.437,5.0,45942335.0,3972520.0,11565.0,183.051540462,955.366065756,119.697767429,0.0,0.0,17.2858419305,0.0,46.0679311028,0.0,0.0,0.0,0.0,23.4253122464,0.0,11.2351547453,48.734345525,0.0,0.0,0.0,464.848613579,407.12263966,0.0,0.0,46.0679311028,0.0,0.0,131.945750785,0.0,0.0,0.0,0.0,5.03785857438,36.1849668038,230.120618184,3.24175247395,117.608443357,3.50459726913,141.068801576,259.545800956,0.0,14.2491083968,149.84197674,Southeast Region,5
13,1985,05,62649372.3461,1598340951.81,0.0,0.0,0.0,16242429.8675,0.0,11601735.6196,0.0,0.0,0.0,34805206.8589,208019119.66,0.0,17402603.4295,581885050.003,0.0,31568322.6211,0.0,167345754.925,592120101.167,0.0,0.0,11601735.6196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51047636.7265,123326449.637,307387985.243,317493096.967,278441654.872,5058356.73017,218135833.121,180423231.315,67754136.0187,16242429.8675,84077778.0356,5.0,26082631.0,2327046.0,11208.0,26.9222749985,686.854042338,0.0,0.0,0.0,6.97984907368,0.0,4.9856064812,0.0,0.0,0.0,14.9568194436,89.3919242079,0.0,7.4784097218,250.053093065,0.0,13.5658352353,0.0,71.9133850061,254.451395102,0.0,0.0,4.9856064812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9366685173,52.9969968951,132.093643719,136.436106964,119.654555549,2.1737244258,93.7393730595,77.5331606317,29.1159418502,6.97984907368,36.1306901693,Southeast Region,5
14,1985,12,2149650787.76,17759586514.1,250249437.316,0.0,0.0,77081931.4569,0.0,893844119.08,0.0,0.0,640937884.307,287537415.597,3149871220.73,0.0,0.0,1977297723.74,0.0,572524769.706,0.0,9858082929.21,2201809870.76,0.0,0.0,1534782003.39,0.0,25106155.8809,281736547.788,0.0,0.0,25523818.3632,262431259.716,20071002.622,67129962.6424,516045200.362,2068440958.77,648339791.633,955402928.278,4349481402.42,4243615564.89,1430006729.01,786832030.072,2694291946.08,5.0,170340970.0,11351120.0,15007.0,189.37785767,1564.5668898,22.0462330868,0.0,0.0,6.79068950526,0.0,78.7450153888,0.0,0.0,56.4647263272,25.3311933622,277.494310758,0.0,0.0,174.194063999,0.0,50.4377338717,0.0,868.467863013,193.972918158,0.0,0.0,135.209741716,0.0,2.21177785812,24.8201541159,0.0,0.0,2.24857268386,23.1194155041,1.76819579231,5.91395057425,45.4620513537,182.223512637,57.1168124055,84.1681638709,383.176409237,373.849942991,125.979350849,69.3175677882,237.359128093,Southeast Region,5
15,1985,13,1458732626.4,6411546047.29,18562776.9914,0.0,0.0,85272756.8044,0.0,472619903.938,0.0,21289184.8621,0.0,860988003.805,274070120.89,0.0,0.0,204631412.859,0.0,0.0,0.0,5527595888.34,405248625.194,0.0,0.0,472619903.938,0.0,0.0,922477202.59,21289184.8621,0.0,20836717.1729,0.0,21509617.8388,280471958.605,211302410.841,542613174.931,1643664292.18,6961041.37179,541427477.551,1660811657.42,199909506.462,513956887.95,810427639.975,5.0,78389015.0,5962639.0,13147.0,244.645470974,1075.28663857,3.11318142712,0.0,0.0,14.3011771808,0.0,79.2635448729,0.0,3.57042994923,0.0,144.397137544,45.9645671808,0.0,0.0,34.3189337572,0.0,0.0,0.0,927.038495596,67.9646420309,0.0,0.0,79.2635448729,0.0,0.0,154.709551021,3.57042994923,0.0,3.49454615195,0.0,3.60739897868,47.0382256254,35.4377333326,91.0021845916,275.660540941,1.16744303517,90.8033301279,278.536342285,33.5270182317,86.1962107635,135.917609631,Southeast Region,5
16,1985,21,67909599.2761,3261305891.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67909599.2761,0.0,0.0,522686033.831,0.0,66617165.928,425565584.611,0.0,34109102.7218,0.0,861883657.795,1350444346.47,0.0,67909599.2761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295380188.876,495544933.522,211381302.643,235515233.079,437872705.757,486878437.014,663860593.545,0.0,299136830.87,135735666.056,5.0,42685414.0,3694816.0,11553.0,18.3796971963,882.670717936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3796971963,0.0,0.0,141.464699144,0.0,18.0299007929,115.17910083,0.0,9.23161064631,0.0,233.268357016,365.497049508,0.0,18.3796971963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.9444921956,134.118974672,57.2102379774,63.7420735103,118.510016671,131.773391967,179.673519208,0.0,80.9612253682,36.7367863665,Southeast Region,5
17,1985,22,1873687263.61,6791809174.65,153142910.179,0.0,0.0,31904772.954,0.0,402714806.135,0.0,157597976.657,0.0,1128326797.69,105390166.369,0.0,0.0,560874306.796,0.0,1141531893.17,0.0,183736687.008,4800276121.31,0.0,0.0,382759820.869,157597976.657,0.0,1281469707.87,0.0,0.0,0.0,19954985.2658,31904772.954,238763719.052,1150551082.44,149314337.425,694097036.917,1857565491.8,1274701255.31,535132375.803,361452073.23,373343852.24,156887950.437,5.0,52996795.0,4408113.0,12023.0,425.054272342,1540.75205755,34.7411489178,0.0,0.0,7.23773935787,0.0,91.3576412708,0.0,35.7518005227,0.0,255.965942273,23.908227028,0.0,0.0,127.236826006,0.0,258.961576795,0.0,41.6814829857,1088.96394473,0.0,0.0,86.8307642906,35.7518005227,0.0,290.70709119,0.0,0.0,0.0,4.52687698019,7.23773935787,54.1646094491,261.007619914,33.8726201948,157.458993659,421.396976846,289.171637684,121.397154702,81.9970071616,84.6947100132,35.5907279231,Southeast Region,5
18,1985,28,98382718.0546,1844952084.83,23203471.2393,0.0,0.0,11601735.6196,0.0,16010395.1551,0.0,27844165.4872,0.0,19722950.5534,99287653.433,0.0,0.0,770568717.08,0.0,25512216.6276,0.0,11891779.0101,553836693.969,383855024.712,27844165.4872,16010395.1551,0.0,0.0,23203471.2393,0.0,0.0,11601735.6196,19722950.5534,0.0,35791354.3866,99774926.329,0.0,400143861.522,0.0,16741304.4992,491458802.237,0.0,732023110.657,69018725.2013,5.0,25725576.0,2588103.0,9940.0,38.0134477085,712.85883322,8.9654357803,0.0,0.0,4.48271789015,0.0,6.18615068841,0.0,10.7585229364,0.0,7.62062041325,38.3630997039,0.0,0.0,297.734949915,0.0,9.85749664044,0.0,4.5947858374,213.993297009,148.315204113,10.7585229364,6.18615068841,0.0,0.0,8.9654357803,0.0,0.0,4.48271789015,7.62062041325,0.0,13.8291846911,38.5513738553,0.0,154.608940031,0.0,6.46856191549,189.891516001,0.0,282.841567997,26.6676887285,Southeast Region,5
19,1985,37,887054783.396,2657920504.91,489941295.218,0.0,0.0,286562869.805,0.0,110550618.373,0.0,0.0,0.0,0.0,106306703.483,0.0,15778360.4427,44086595.3547,0.0,14467364.3177,0.0,820985219.389,1656296261.92,0.0,0.0,51913126.2037,0.0,0.0,623825324.269,0.0,0.0,0.0,64969719.47,146346613.453,11601735.6196,15778360.4427,609752418.962,735318003.573,45246768.9166,778894122.561,288602454.927,0.0,140717451.331,32009188.5746,5.0,78721174.0,6253957.0,12587.0,141.838964258,424.998205921,78.3410079759,0.0,0.0,45.8210489463,0.0,17.676907336,0.0,0.0,0.0,0.0,16.9983105869,0.0,2.52294034684,7.04939214559,0.0,2.31331368567,0.0,131.274522576,264.83972658,0.0,0.0,8.30084476175,0.0,0.0,99.7488988601,0.0,0.0,0.0,10.3885778988,23.4006427376,1.85510319621,2.52294034684,97.4986586831,117.576440576,7.23490246521,124.544208181,46.1471760882,0.0,22.5005466668,5.11822971834,Southeast Region,5
